TYPE,DETAIL,NOM,SURFACE,ECLAIRAGE,OBJECTID,x,y
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Debonair 1,Gazon naturel,Oui,310,-8003330.33,5689578.474
Soccer,4 terrains à 5,Debonair 3,Gazon naturel,Non,311,-8003446.875,5689587.862
Soccer,Terrain à 7,Ernest-Bergeron 2,Gazon naturel,Non,312,-8009371.376,5698114.314
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Ernest-Bergeron 1,Gazon naturel,Non,313,-8009307.945,5698054.562
Soccer,Terrain à 7,Jacques-Cartier 2,Gazon naturel,Non,314,-8005887.17,5683972.055
Soccer,,Optimist 1,,,315,-7998499.427,5679466.546
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Jean-Claude-Quirion 1,Gazon naturel,Non,316,-8000343.778,5684795.152
Soccer,Terrain à 9,Jules-Richard 1,Gazon naturel,Oui,317,-8019393.26,5675973.37
Soccer,Terrain à 7,Marie-Médiatrice 1,Gazon naturel,Oui,318,-8009252.043,5682804.043
Soccer,Terrain à 7,Olivier-Chauveau 1,Gazon naturel,Non,319,-8012047.565,5682329.045
Soccer,Terrain à 11,Olympique synthétique 1,Gazon synthétique,Oui,320,-8001856.237,5686633.138
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Olympique 2,Gazon naturel,Oui,321,-8001805.761,5686408.177
Soccer,Terrain à 9 avec 2 terrains à 7 intégrés,Paul-Marin 2,Gazon naturel,Oui,322,-8007451.062,5682984.695
Soccer,Terrain à 9,Paul-Marin 1,Gazon naturel,Oui,323,-8007320.642,5682955.764
Soccer,Terrain à 11,Quintal 1,Gazon naturel,Oui,324,-7998457.711,5689643.546
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Quintal 2,Gazon naturel,Oui,325,-7998481.982,5689786.446
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Quintal 3,Gazon naturel,Non,326,-7998580.962,5689485.139
Soccer,,Université Bishop's synthétique Coulter field,,,327,-7997314.503,5679210.24
Soccer,Terrain à 7,Saint-Alphonse 2A,Gazon naturel,Oui,328,-8005409.258,5687027.945
Soccer,Terrain à 11 avec 2 terrains à 7 intégrés,Saint-Charles-Garnier 1,Gazon naturel,Non,329,-8010232.362,5686851.535
Soccer,6 terrains à 5,Saint-Boniface 1,Gazon naturel,Non,330,-8007929.051,5684573.207
Soccer,,École Le Triolet 1,,,331,-8008876.76,5681782.579
Soccer,,École Le Triolet 2,,,332,-8008840.972,5682069.625
Tennis,Nombre de court(s) : 2,,Synthétique,Oui,333,-8001483.033,5688767.148
Tennis,Nombre de court(s) : 3,,Terre battue,Oui,334,-8005900.338,5683864.737
Tennis,Nombre de court(s) : 2,,Synthétique,Oui,335,-7999892.528,5688709.004
Tennis,Nombre de court(s) : 2,,Terre battue,Oui,336,-8000783.599,5685666.922
Tennis,Nombre de court(s) : 3,,Synthétique,Oui,337,-8001035.026,5686834.984
Tennis,Nombre de court(s) : 2,,Asphalte,Oui,338,-8013251.355,5681711.78
Tennis,Nombre de court(s) : 2,,Terre battue,Oui,339,-8004443.209,5682727.157
Tennis,Nombre de court(s) : 2,,Terre battue,Oui,340,-8019306.148,5676005.177
Tennis,Nombre de court(s) : 3,,Synthétique,Oui,341,-8002837.722,5680612.252
Tennis,Nombre de court(s) : 3,,Asphalte,Oui,342,-8010265.02,5686694.097
Tennis,Nombre de court(s) : 3,,Synthétique,Oui,343,-8005401.342,5687189.614
Tennis,Nombre de court(s) : 3,,Terre battue,Oui,344,-8007357.308,5682832.669
Tennis,Nombre de court(s) : ,,Asphalte,,345,-8002876.805,5680655.87
Tennis,Nombre de court(s) : 1,,Terre battue,Oui,346,-8012146.31,5680590.461
Tennis,Nombre de court(s) : 1,,Terre battue,Oui,347,-8017500.777,5670580.622
Tennis,Nombre de court(s) : 2,,Synthétique,Oui,348,-7999358.459,5679846.338
Tennis,Nombre de court(s) : 2,,Terre battue,Oui,349,-8015907.682,5684612.997
Tennis,Nombre de court(s) : 2,,Terre battue,Oui,350,-8003216.267,5689609.551
Tennis,Nombre de court(s) : 8,,Synthétique,Oui,351,-8014036.023,5679749.947
Tennis,Nombre de court(s) : 3,,Terre battue,Oui,352,-8004735.698,5682242.436
Tennis,Nombre de court(s) : 3,,Terre battue,Oui,353,-8009094.851,5682828.561
Tennis,Nombre de court(s) : 3,,Terre battue,Oui,354,-8001536.591,5684969.042
Tennis,Nombre de court(s) : 2,,Synthétique,Oui,355,-7996595.611,5685894.391
Tennis,Nombre de court(s) : 1,,Asphalte,Oui,356,-8017520.329,5670581.341
Tennis,Nombre de court(s) : 2,,Asphalte,Oui,357,-8008952.94,5696293.93
Tennis,Nombre de court(s) : 2,,Asphalte,Oui,358,-8014711.989,5677659.017
Tennis,Nombre de court(s) : 2,,Terre battue,Oui,359,-8014669.009,5677654.497
Baseball,,,Naturelle,Oui,360,-7998385.356,5685751.509
Baseball,,,Gazon naturel,Non,361,-7999768.087,5688619.801
Baseball,,,Gazon naturel,Non,362,-8003965.908,5685674.606
Baseball,,,Gazon naturel,Non,363,-8003962.435,5685793.204
Football,,,Gazon synthétique,Oui,364,-8001840.337,5686577.699
Basketball,,,Asphalte,Non,365,-8000776.409,5685710.398
Football,,,Gazon naturel,Non,366,-8003964.899,5685733.515
Baseball,,,Naturelle,Oui,367,-7998723.853,5689490.909
Baseball,,,Naturelle,Oui,368,-7998900.533,5689504.147
Baseball,,,Gazon naturel,Oui,369,-8001101.463,5686714.301
