type,detail,nom,surface,eclairage,objectid,x,y
basketball,,,terre battue,non,370,-8012093.724,5682388.995
volleyball,,,sable,non,371,-8014020.338,5674149.306
volleyball,,,sable,oui,372,-8013098.57,5681615.593
volleyball,,,terre battue,,373,-7998276.798,5685852.797
volleyball,,,sable,,374,-7998258.446,5685843.112
volleyball,,,sable,,375,-8005598.271,5687041.014
volleyball,,,sable,non,376,-7998858.933,5681070.919
volleyball,,,sable,non,377,-7998854.959,5681005.242
volleyball,,,sable,non,378,-7998905.259,5681040.954
volleyball,,,sable,,379,-8017642.951,5674434.968
baseball,,,gazon naturel,oui,380,-8002354.986,5686822.161
basketball,,,terre battue,oui,381,-8003146.345,5689594.579
basketball,,,asphalte,oui,382,-8013092.497,5681563.67
baseball,,,naturelle,oui,383,-8019677.248,5683711.177
baseball,,,gazon naturel,non,384,-8013207.726,5681579.605
baseball,,,gazon naturel,non,385,-8010652.358,5696387.963
basketball,,,terre battue,oui,386,-8004336.157,5682896.542
basketball,,,terre battue,non,387,-8003346.001,5683001.206
basketball,,,asphalte,,388,-8007892.89,5684645.433
basketball,,,terre battue,oui,389,-8003135.291,5689603.646
volleyball,,,sable,oui,390,-8009330.307,5696649.118
basketball,,,,oui,391,-8003176.104,5683930.667
basketball,,,,oui,392,-8003212.617,5683934.477
basketball,,,terre battue,oui,393,-8002545.29,5682373.753
basketball,,,,,394,-8002869.805,5680677.577
basketball,,,terre battue,oui,395,-8019477.694,5676014.637
volleyball,,,sable,oui,396,-8014876.65,5677480.815
basketball,,,terre battue,oui,397,-8012176.934,5682422.046
ultimate frisbee,,,gazon naturel,oui,398,-8012051.927,5680568.997
basketball,,,terre battue,oui,399,-8013061.36,5683395.606
basketball,,,asphalte,,400,-8017538.325,5670588.902
baseball,,,gazon naturel,non,401,-7999771.141,5680594.998
basketball,,,asphalte,non,402,-8014953.825,5677772.104
pickleball,,,asphalte,oui,403,-8015001.953,5677654.786
basketball,,,asphalte,oui,404,-8015790.965,5684562.742
basketball,,,asphalte,oui,405,-8002829.208,5680666.666
baseball,,,gazon naturel,oui,406,-8002720.143,5680648.521
baseball,,,naturelle,non,407,-8002619.891,5686832.087
basketball,,,,oui,408,-8010281.637,5686770.744
basketball,,,,,409,-8006632.904,5685127.179
football,,,,,410,-8007684.791,5680749.487
football,,,,,411,-8006582.829,5684929.267
baseball,,,naturelle,oui,412,-8000485.612,5683801.986
basketball,,,asphalte,oui,413,-8008449.097,5695730.918
baseball,,,gazon naturel,oui,414,-8014953.195,5677522.025
football,,,,,415,-8007230.47,5680701.977
football,,,,,416,-8009353.065,5681374.75
football,,,,,417,-7997315.781,5679151.671
basketball,,,terre battue,oui,418,-8005748.13,5692929.088
baseball,,,gazon naturel,oui,419,-8004444.028,5682789.892
volleyball,,,sable,non,420,-8006852.517,5683828.971
baseball,,,gazon naturel,non,421,-8001595.307,5688780.367
volleyball,,,sable,non,422,-8015804.254,5684667.165
basketball,,,asphalte,non,423,-8016297.522,5683293.644
pickleball,,,asphalte,oui,424,-8008460.831,5695761.319
pickleball,,,asphalte,oui,425,-8015801.501,5684600.761
basketball,,,terre battue,oui,426,-7999736.319,5687302.77
pickleball,,,asphalte,oui,427,-7999359.25,5679853.377
pickleball,,,asphalte,oui,428,-8005514.419,5687121.678
basketball,,,asphalte,oui,429,-8003221.731,5684243.196
basketball,,,asphalte,non,430,-7998744.236,5681059.934
pickleball,,,asphalte,oui,431,-7996482.462,5685758.183
basketball,,,asphalte,non,432,-8009220.438,5697987.669
pickleball,,,asphalte,oui,433,-8017519.543,5670591.956
pickleball,,,asphalte,oui,434,-8017521.23,5670569.311
basketball,,,asphalte,oui,435,-8007570.948,5682842.919
pickleball,,,asphalte,oui,436,-8007570.34,5682911.177
pickleball,,,asphalte,oui,437,-8002837.876,5680709.626
pickleball,,,asphalte,oui,438,-8007899.697,5684679.81
