OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
2600,076-0008,0061-000,Soccer à 7,Le Plateau-Mont-Royal,Sportif
2601,074-0005,1860-012,Soccer / Football,Ahuntsic-Cartierville,Sportif
2602,009-0009,2826-000,Aire de pique-nique,Saint-Laurent,Plein air
2603,076-0057,2714-000,Soccer à 7,Pierrefonds-Roxboro,Sportif
2604,018-0107,0704-000,Basketball,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
2605,003-0495,2015-000,Aire de jeu 18 mois à 5 ans,Anjou,Aire de jeu - enfant
2606,003-0175,2605-000,Aire de jeu 18 mois à 5 ans,Outremont,Aire de jeu - enfant
2607,089-0061, ,Volleyball de plage,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
2608,069-0010,9562-000,Sentier de raquette,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
2609,050-0056,2907-000,Pataugeoire,Verdun,Récréatif
2610,020-0013,9502-000,Belvédère,L'Île-Bizard-Sainte-Geneviève,Loisirs et détente
2611,018-0011,2814-000,Basketball,Saint-Laurent,Récréatif
2612,075-0042,2700-004,Soccer à 4-5,Pierrefonds-Roxboro,Sportif
2613,081-0014,0411-000,Tennis,Ahuntsic-Cartierville,Sportif
2614,032-0022,0345-000,Fer / Galet,Le Sud-Ouest,Loisirs et détente
2615,064-0016,0764-000,Rampe de mise à l'eau / descente de bateaux,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
2616,089-0052, ,Volleyball de plage,Mercier-Hochelaga-Maisonneuve,Récréatif
2617,004-0150,0296-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
2618,003-0292,0162-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
2619,004-0029,3791-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
2620,003-0486,2005-000,Aire de jeu 18 mois à 5 ans,Anjou,Aire de jeu - enfant
2621,003-0338,2459-000,Aire de jeu 18 mois à 5 ans,LaSalle,Aire de jeu - enfant
2622,031-0008,2608-000,Étang / lac,Outremont,Plein air
2623,064-0010,9503-000,Rampe de mise à l'eau / descente de bateaux,L'Île-Bizard-Sainte-Geneviève,Plein air
2624,004-0267,2944-000,Aire de jeu  5 à 12 ans,Verdun,Aire de jeu - enfant
2625,018-0067,2659-000,Basketball,Pierrefonds-Roxboro,Récréatif
2626,003-0399,0703-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2627,052-0108,0922-000,Patinoire avec bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
2628,003-0252, ,Aire de jeu 18 mois à 5 ans,L'Île-Bizard-Sainte-Geneviève,Aire de jeu - enfant
2629,073-0037-76-S2,2601-000,Soccer sous-terrain à 7,Outremont,Sportif
2630,073-0063-76-S1,2891-000,Soccer sous-terrain à 7,Verdun,Sportif
2631,007-0003,2812-000,Aire de lancer athlétisme,Saint-Laurent,Sportif
2632,004-0312,0276-000,Aire de jeu  5 à 12 ans,Le Sud-Ouest,Aire de jeu - enfant
2633,042-0112,0718-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
2634,050-0009,2799-000,Pataugeoire,Saint-Laurent,Récréatif
2635,016-0107,2469-000,Balle,LaSalle,Sportif
2636,003-0309,2929-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
2637,081-0007,2802-000,Tennis,Saint-Laurent,Sportif
2638,004-0297,2481-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
2639,081-0050, ,Tennis,L'Île-Bizard-Sainte-Geneviève,Sportif
2640,020-0015,2944-000,Belvédère,Verdun,Loisirs et détente
2641,016-0129,2551-000,Balle,Montréal-Nord,Sportif
2642,018-0041,0950-001,Basketball,Villeray-Saint-Michel-Parc-Extension,Récréatif
2643,021-0040,0679-000,Bocce,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
2644,042-0099,2466-000,Jeux d'eau,LaSalle,Récréatif
2645,075-0012,2391-000,Soccer à 4-5,Lachine,Sportif
2646,003-0268,0159-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
2647,003-0205,2715-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
2648,003-0498,2852-000,Aire de jeu 18 mois à 5 ans,Saint-Léonard,Aire de jeu - enfant
2649,032-0009,0199-000,Fer / Galet,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
2650,004-0127,0590-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
2651,095-0101,0184-000,Pétanque,Ville-Marie,Loisirs et détente
2652,004-0445,2854-000,Aire de jeu  5 à 12 ans,Saint-Léonard,Aire de jeu - enfant
2653,052-0053,0402-000,Patinoire avec bandes,Villeray-Saint-Michel-Parc-Extension,Récréatif
2654,066-0001,0411-000,Rugby / Soccer à 11,Ahuntsic-Cartierville,Sportif
2655,001-0003,2820-000,Abri soleil,Saint-Laurent,Plein air
2656,003-0362,0282-001,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
2657,011-0002,2430-002,Aire de tir à l'arc,Lachine,Sportif
2658,073-0034,0199-000,Soccer à 11,Villeray-Saint-Michel-Parc-Extension,Sportif
2659,074-0024, ,Soccer / Football,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
2660,076-0073, ,Soccer à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2661,076-0052,2674-000,Soccer à 7,Pierrefonds-Roxboro,Sportif
2662,004-0357,0966-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
2663,043-0003,2914-000,Marina,Verdun,Plein air
2664,064-0019, ,Rampe de mise à l'eau / descente de bateaux,Lachine,Plein air
2665,095-0014,0412-000,Pétanque,Ahuntsic-Cartierville,Loisirs et détente
2666,004-0421,0186-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
2667,045-0003,2460-000,Multisport,LaSalle,Sportif
2668,018-0117,2564-000,Basketball,Montréal-Nord,Récréatif
2669,016-0008,2812-000,Balle,Saint-Laurent,Sportif
2670,021-0048,0101-000,Bocce,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
2671,095-0019,0414-000,Pétanque,Ahuntsic-Cartierville,Loisirs et détente
2672,013-0028,2893-000,Aire d'exercice canin,Verdun,Loisirs et détente
2673,005-0019,2707-000,Aire de jeu combiné,Pierrefonds-Roxboro,Aire de jeu - enfant
2674,055-0053,0345-000,Piscine extérieure,Le Sud-Ouest,Récréatif
2675,016-0094,0170-000,Balle,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2676,053-0049,0166-000,Patinoire sans bandes,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
2677,003-0110,2418-000,Aire de jeu 18 mois à 5 ans,Lachine,Aire de jeu - enfant
2678,095-0047,0146-000,Pétanque,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
2679,016-0147,0091-000,Balle,Mercier-Hochelaga-Maisonneuve,Sportif
2680,021-0053,2851-000,Bocce,Saint-Léonard,Loisirs et détente
2681,013-0037,0279-000,Aire d'exercice canin,Le Sud-Ouest,Loisirs et détente
2682,003-0190,0565-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
2683,081-0072,0398-000,Tennis,Le Sud-Ouest,Sportif
2684,042-0073,2896-000,Jeux d'eau,Verdun,Récréatif
2685,021-0024,2705-000,Bocce,Pierrefonds-Roxboro,Loisirs et détente
2686,003-0192,0252-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
2687,003-0049,0233-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
2688,018-0002,2795-000,Basketball,Saint-Laurent,Récréatif
2689,003-0295,2894-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
2690,073-0029,0950-001,Soccer à 11,Villeray-Saint-Michel-Parc-Extension,Sportif
2691,009-0046, ,Aire de pique-nique,Montréal-Nord,Plein air
2692,045-0002,0151-000,Multisport,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
2693,081-0084,2562-000,Tennis,Montréal-Nord,Sportif
2694,018-0024,0010-000,Basketball,Ahuntsic-Cartierville,Récréatif
2695,073-0093,0076-000,Soccer à 11,Mercier-Hochelaga-Maisonneuve,Sportif
2696,010-0006,2398-000,Aire de planche à roulette,Lachine,Récréatif
2697,076-0059,2366-000,Soccer à 7,L'Île-Bizard-Sainte-Geneviève,Sportif
2698,020-0008,2723-000,Belvédère,Pierrefonds-Roxboro,Loisirs et détente
2699,003-0455,0119-000,Aire de jeu 18 mois à 5 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
2700,016-0136,0097-000,Balle,Mercier-Hochelaga-Maisonneuve,Sportif
2701,003-0493,2013-000,Aire de jeu 18 mois à 5 ans,Anjou,Aire de jeu - enfant
2702,055-0060,2551-000,Piscine extérieure,Montréal-Nord,Récréatif
2703,016-0026,1801-002,Balle,Ahuntsic-Cartierville,Sportif
2704,003-0089,0014-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
2705,089-0062,2853-000,Volleyball de plage,Saint-Léonard,Récréatif
2706,021-0034,0363-000,Bocce,Le Sud-Ouest,Loisirs et détente
